ObjectId2,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Open Date,EV Connector Types,Country,EV Pricing,Restricted Access,STATEFP,COUNTYFP,County,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Tract,GreaterRegion,MTFCC,FUNCSTAT,ALAND_sqm,AWATER_sqm,Contiguous,Contiguo_1,Contiguo_2,UCD_urban_,Tract_POPU,NAME_12,SQMI_ALAND,DAC,Income_Gro,Shape_Leng,Join_Count,TARGET_FID,x,y,ObjectId,x2,y2,DAC/LIC,rural,DCFC,EV Network Clean,weight,weight_
6828,ELEC,VCH MOB EV3,41169 Goodwin Way,Madera,CA,93636,E,,2,,ChargePoint Network,http://www.chargepoint.com/,36.886757,-119.799034,8/19/23 7:00,176427,2023-08-19 00:16:43 UTC,,1/27/21 8:00,J1772,US,,,6,39,Madera County,1000,6039001000,10,Census Tract 10,373652565,363850,36.8838955,-119.9925738,6039001000,Central Other,G5020,S,373652565,363850,0,0,0,Rural,5232,Madera County,144.1723347,Disadvantaged Community,Middle,130393.1787,10,3748,-119.799034,36.886757,6680,-119.799034,36.886757,1,1,0,ChargePoint Network,6.82E-05,9.88E-05
11784,ELEC,SANTA CLARITA CYN CNTRY CC4,18410 Sierra Hwy,Santa Clarita,CA,91351,E,,2,,ChargePoint Network,http://www.chargepoint.com/,34.417612,-118.454481,8/19/23 7:00,201654,2023-08-19 00:34:02 UTC,,11/27/21 8:00,J1772,US,,,6,37,Los Angeles County,920038,6037920038,9200.38,Census Tract 9200.38,993208,0,34.4236681,-118.4469663,6037920038,Los Angeles,G5020,S,993208,0,16918169,3748.02911,4513.88,Urban,1710,Los Angeles County,0.383479209,,Low,6049.799586,4,5710,-118.454481,34.417612,11773,-118.454481,34.417612,1,0,0,ChargePoint Network,3.82E-05,5.53E-05
2891,ELEC,The Shops on Lake Avenue,345 - 455 S Lake Ave,Pasadena,CA,91101,E,,2,,Volta,https://voltacharging.com/,34.13935925,-118.1336032,8/19/23 7:00,152841,2023-08-19 00:57:45 UTC,,1/20/20 8:00,J1772,US,,FALSE,6,37,Los Angeles County,463601,6037463601,4636.01,Census Tract 4636.01,928142,0,34.1408642,-118.1368375,6037463601,Los Angeles,G5020,S,928142,0,16918169,3748.02911,4513.88,Urban,5988,Los Angeles County,0.358357482,,Middle,3898.440116,12,138,-118.1336032,34.13935925,2855,-118.1336032,34.13935925,0,0,0,Volta,3.82E-05,5.53E-05
1815,ELEC,Quality Inn - Redwoods Area - Tesla Destination,1209 4th St,Eureka,CA,95501,E,,6,,Tesla Destination,https://www.tesla.com/destination-charging,40.804184,-124.158086,10/6/22 7:00,112962,2023-01-18 15:15:20 UTC,P,1/12/18 8:00,J1772 TESLA,US,Free,,6,23,Humboldt County,500,6023000500,5,Census Tract 5,2410517,187863,40.8025436,-124.1513984,6023000500,Northern Other,G5020,S,2410517,187863,47496,60.33629429,787.19,Rural,4450,Humboldt County,0.930518175,,Low,7763.042219,4,3738,-124.158086,40.804184,1142,-124.158086,40.804184,1,1,0,Tesla Destination,6.82E-05,9.88E-05
523,ELEC,Golden Gate Park - Music Concourse Garage,1 Music Concourse Dr,San Francisco,CA,94118,E,9,2,,Non-Networked,,37.768766,-122.468341,8/10/22 7:00,46473,2023-02-14 15:54:11 UTC,P,4/10/12 7:00,J1772 NEMA520,US,Free; Pay to park,FALSE,6,75,San Francisco County,980300,6075980300,9803,Census Tract 9803,4341949,409466,37.7684025,-122.4920873,6075980300,San Francisco,G5020,S,4341949,409466,6987344,1863.146371,3750.29,Urban,63,San Francisco County,1.676434807,,High,15283.97051,1,6509,-122.468341,37.768766,407,-122.468341,37.768766,0,0,0,Other,3.82E-05,5.53E-05
15826,ELEC,TVUSD CHS 2,27215 Nicolas Rd,Temecula,CA,92591,E,,2,,ChargePoint Network,http://www.chargepoint.com/,33.536943,-117.149777,8/19/23 7:00,252753,2023-08-19 00:42:03 UTC,,1/31/23 8:00,J1772,US,,,6,65,Riverside County,49600,6065049600,496,Census Tract 496,3850424,0,33.5357624,-117.1579437,6065049600,Southern Other,G5020,S,3850424,0,16918169,3748.02911,4513.88,Urban,8220,Riverside County,1.497144482,,High,10620.62934,5,499,-117.149777,33.536943,15473,-117.149777,33.536943,0,0,0,ChargePoint Network,6.82E-05,9.88E-05
7666,ELEC,PS2 ALL PS 2 NEW 1,353 Point San Bruno Blvd,South San Francisco,CA,94080,E,,2,,ChargePoint Network,http://www.chargepoint.com/,37.653311,-122.381222,8/19/23 7:00,177623,2023-08-19 00:09:51 UTC,,1/27/21 8:00,J1772,US,,,6,81,San Mateo County,602300,6081602300,6023,Census Tract 6023,10010608,3414184,37.6516231,-122.3991663,6081602300,San Francisco,G5020,S,10010608,3414184,6987344,1863.146371,3750.29,Urban,4196,San Mateo County,3.911412875,Disadvantaged Community,Low,19094.34504,191,2400,-122.381222,37.653311,7331,-122.381222,37.653311,1,0,0,ChargePoint Network,3.82E-05,5.53E-05
4742,ELEC,PUBLIC STATIONS CAPITOL AVE #06,3610 Capitol Ave,Fremont,CA,94538,E,,2,,ChargePoint Network,http://www.chargepoint.com/,37.549882,-121.984762,8/18/23 7:00,161195,2023-08-18 23:58:08 UTC,,6/12/20 7:00,J1772,US,,,6,1,Alameda County,441923,6001441923,4419.23,Census Tract 4419.23,1506725,0,37.5509731,-121.9850086,6001441923,San Francisco,G5020,S,1506725,0,6987344,1863.146371,3750.29,Urban,6250,Alameda County,0.58174915,,Middle,5412.118739,25,5233,-121.984762,37.549882,4143,-121.984762,37.549882,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
6125,ELEC,CSG EV SDSU LOT 2C,6150 Zura Way,San Diego,CA,92115,E,,2,,ChargePoint Network,http://www.chargepoint.com/,32.773622,-117.068072,8/19/23 7:00,176913,2023-08-19 00:13:51 UTC,,1/27/21 8:00,J1772,US,,,6,73,San Diego County,2904,6073002904,29.04,Census Tract 29.04,1802462,0,32.7715643,-117.0626516,6073002904,San Diego,G5020,S,1802462,0,3153807,966.3614081,3263.59,Urban,10078,San Diego County,0.695933797,,Low,5849.406572,10,2744,-117.068072,32.773622,6032,-117.068072,32.773622,1,0,0,ChargePoint Network,6.82E-05,9.88E-05
16654,ELEC,"UC DAVIS HEALTH PS3, STATION 1",4251 X St,Sacramento,CA,95817,E,,1,,ChargePoint Network,http://www.chargepoint.com/,38.553618,-121.456164,8/19/23 7:00,262745,2023-08-19 00:45:25 UTC,,6/15/23 7:00,J1772,US,,,6,67,Sacramento County,1700,6067001700,17,Census Tract 17,3525649,0,38.5519098,-121.4417291,6067001700,Sacramento,G5020,S,3525649,0,1961917,842.9358486,2327.48,Urban,5513,Sacramento County,1.361260902,,Middle,10390.44193,24,4346,-121.456164,38.553618,16598,-121.456164,38.553618,0,0,0,ChargePoint Network,6.82E-05,9.88E-05
