ObjectId2,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Open Date,EV Connector Types,Country,EV Pricing,Restricted Access,STATEFP,COUNTYFP,County,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Tract,GreaterRegion,MTFCC,FUNCSTAT,ALAND_sqm,AWATER_sqm,Contiguous,Contiguo_1,Contiguo_2,UCD_urban_,Tract_POPU,NAME_12,SQMI_ALAND,DAC,Income_Gro,Shape_Leng,Join_Count,TARGET_FID,x,y,ObjectId,x2,y2,DAC/LIC,rural,DCFC,EV Network Clean,weight,weight_
5465,ELEC,CSG EV GT DC1,22795 Barton Rd,Grand Terrace,CA,92313,E,,,1,ChargePoint Network,http://www.chargepoint.com/,34.034964,-117.306911,8/19/23 7:00,174955,2023-08-19 00:19:11 UTC,,1/27/21 8:00,CHADEMO J1772COMBO,US,,,6,71,San Bernardino County,7104,6071007104,71.04,Census Tract 71.04,4320102,0,34.0312018,-117.3016257,6071007104,Southern Other,G5020,S,4320102,0,16918169,3748.02911,4513.88,Urban,3913,San Bernardino County,1.668000022,,Middle,10316.71184,3,3406,-117.306911,34.034964,5596,-117.306911,34.034964,0,0,1,ChargePoint Network,0.000488998,0.000591345
15742,ELEC,Balboa Mesa Shopping Center,5401 Balboa Avenue,San Diego,CA,92111,E,,,4,eVgo Network,https://www.evgo.com/,32.81817,-117.17852,8/18/23 7:00,257756,2023-08-18 23:56:54 UTC,,3/31/23 7:00,CHADEMO J1772COMBO,US,,,6,73,San Diego County,8509,6073008509,85.09,Census Tract 85.09,1952836,0,32.8149642,-117.171816,6073008509,San Diego,G5020,S,1952836,0,3153807,966.3614081,3263.59,Urban,7369,San Diego County,0.753993885,,Low,6198.240416,4,4747,-117.17852,32.81817,15605,-117.17852,32.81817,1,0,1,eVgo Network,0.000488998,0.000591345
2348,ELEC,DCH Audi - Oxnard,1600 Ventura Blvd,Oxnard,CA,93036,E,,2,2,Non-Networked,,34.22593,-119.156079,1/10/23 8:00,152021,2023-02-14 15:54:11 UTC,P,7/1/19 7:00,CHADEMO J1772 J1772COMBO,US,,TRUE,6,111,Ventura County,5002,6111005002,50.02,Census Tract 50.02,8149515,0,34.2329793,-119.1371738,6111005002,Los Angeles,G5020,S,8149515,0,16918169,3748.02911,4513.88,Urban,3339,Ventura County,3.146560643,,Low,11606.93122,13,1458,-119.156079,34.22593,2163,-119.156079,34.22593,1,0,1,Other,0.000322738,0.000390288
16123,ELEC,Safeway San Francisco #2646,735 7th Ave,San Francisco,CA,94118,E,,,4,eVgo Network,https://www.evgo.com/,37.775101,-122.465106,8/18/23 7:00,303809,2023-08-18 23:56:52 UTC,,7/30/23 7:00,CHADEMO J1772COMBO,US,,,6,75,San Francisco County,45200,6075045200,452,Census Tract 452,592224,0,37.7771205,-122.468001,6075045200,San Francisco,G5020,S,592224,0,6987344,1863.146371,3750.29,Urban,7286,San Francisco County,0.228658871,,Low,3083.963817,1,2808,-122.465106,37.775101,16271,-122.465106,37.775101,1,0,1,eVgo Network,0.000322738,0.000390288
13420,ELEC,The Current Apartments,707 E Ocean Blvd,Long Beach,CA,90802,E,,1,2,eVgo Network,https://www.evgo.com/,33.766553,-118.183942,8/18/23 7:00,228035,2023-08-18 23:55:57 UTC,,3/7/18 8:00,CHADEMO J1772 J1772COMBO,US,,,6,37,Los Angeles County,576001,6037576001,5760.01,Census Tract 5760.01,1769545,1325186,33.7631159,-118.1938633,6037576001,Los Angeles,G5020,S,1769545,1325186,16918169,3748.02911,4513.88,Urban,5174,Los Angeles County,0.68322525,Disadvantaged Community,Middle,8014.480736,76,7212,-118.183942,33.766553,13020,-118.183942,33.766553,1,0,1,eVgo Network,0.000322738,0.000390288
9475,ELEC,G&M OIL CHEVRON #111,3600 South La Brea Ave,Los Angeles,CA,90016,E,,,1,ChargePoint Network,http://www.chargepoint.com/,34.018595,-118.354948,8/19/23 7:00,182990,2023-08-19 00:14:40 UTC,,1/27/21 8:00,CHADEMO J1772COMBO,US,,,6,37,Los Angeles County,236202,6037236202,2362.02,Census Tract 2362.02,441964,0,34.0170719,-118.3530792,6037236202,Los Angeles,G5020,S,441964,0,16918169,3748.02911,4513.88,Urban,5764,Los Angeles County,0.170643184,Disadvantaged Community,Low,2888.594001,2,4482,-118.354948,34.018595,9459,-118.354948,34.018595,1,0,1,ChargePoint Network,0.000322738,0.000390288
15247,ELEC,ARCO Torrance,1800 Artesia Blvd,Torrance,CA,90504,E,,,2,eVgo Network,https://www.evgo.com/,33.87253,-118.30969,8/18/23 7:00,260073,2023-08-18 23:56:48 UTC,,4/28/23 7:00,CHADEMO J1772COMBO,US,,,6,37,Los Angeles County,650101,6037650101,6501.01,Census Tract 6501.01,1896574,6911,33.8681429,-118.3164997,6037650101,Los Angeles,G5020,S,1896574,6911,16918169,3748.02911,4513.88,Urban,6018,Los Angeles County,0.732271401,,High,5643.670542,3,7784,-118.30969,33.87253,15626,-118.30969,33.87253,0,0,1,eVgo Network,0.000322738,0.000390288
13963,ELEC,Walgreens,1175 Columbus Ave,San Francisco,CA,94133,E,,1,2,eVgo Network,https://www.evgo.com/,37.80501,-122.41723,8/18/23 7:00,228231,2023-08-18 23:56:09 UTC,,3/7/18 8:00,CHADEMO J1772 J1772COMBO,US,,,6,75,San Francisco County,10300,6075010300,103,Census Tract 103,268266,0,37.8016201,-122.4156811,6075010300,San Francisco,G5020,S,268266,0,6987344,1863.146371,3750.29,Urban,4359,San Francisco County,0.103578039,,High,2319.307588,2,992,-122.41723,37.80501,13667,-122.41723,37.80501,0,0,1,eVgo Network,0.000322738,0.000390288
5599,ELEC,IRVINE COMPANY WOODBURY DCFC 1,6428 Irvine Blvd,Irvine,CA,92620,E,,,1,ChargePoint Network,http://www.chargepoint.com/,33.698877,-117.740513,8/19/23 7:00,174170,2023-08-19 00:22:30 UTC,,1/27/21 8:00,CHADEMO J1772COMBO,US,,,6,59,Orange County,52418,6059052418,524.18,Census Tract 524.18,6404939,0,33.6920021,-117.7546973,6059052418,Los Angeles,G5020,S,6404939,0,16918169,3748.02911,4513.88,Urban,21717,Orange County,2.472962847,,Low,13039.01133,9,6551,-117.740513,33.698877,5799,-117.740513,33.698877,1,0,1,ChargePoint Network,0.000322738,0.000390288
10038,ELEC,MONTEREY AIRPRT UNIT 2,200 Fred Kane Dr,Monterey,CA,93940,E,,,1,ChargePoint Network,http://www.chargepoint.com/,36.586429,-121.848607,8/19/23 7:00,187826,2023-08-19 00:26:56 UTC,,4/21/21 7:00,CHADEMO J1772COMBO,US,,,6,53,Monterey County,13300,6053013300,133,Census Tract 133,5570222,364936,36.5941325,-121.8548464,6053013300,Central Other,G5020,S,5570222,364936,126149,112.5747404,1120.58,Urban,6199,Monterey County,2.140159139,,Low,12371.4913,8,1112,-121.848607,36.586429,10046,-121.848607,36.586429,1,0,1,ChargePoint Network,0.000488998,0.000591345
