,GreaterRegion,DAC/LIC,rural,EV Network Clean,DCFC,Count
0,Central Other,0,0,ChargePoint Network,0,28
1,Central Other,0,0,ChargePoint Network,1,7
2,Central Other,0,0,Electrify America,1,0
3,Central Other,0,0,Other,0,2
4,Central Other,0,0,Tesla,1,2
5,Central Other,0,0,Tesla Destination,0,1
6,Central Other,0,0,eVgo Network,1,0
7,Central Other,0,1,ChargePoint Network,0,3
8,Central Other,0,1,ChargePoint Network,1,2
9,Central Other,0,1,Other,0,1
10,Central Other,0,1,Other,1,2
11,Central Other,0,1,Tesla,1,1
12,Central Other,0,1,Tesla Destination,0,3
13,Central Other,1,0,ChargePoint Network,0,26
14,Central Other,1,0,ChargePoint Network,1,9
15,Central Other,1,0,Electrify America,1,0
16,Central Other,1,0,Other,0,9
17,Central Other,1,0,Other,1,7
18,Central Other,1,0,Tesla,1,3
19,Central Other,1,0,Tesla Destination,0,1
20,Central Other,1,0,eVgo Network,1,3
21,Central Other,1,1,ChargePoint Network,0,14
22,Central Other,1,1,ChargePoint Network,1,8
23,Central Other,1,1,Electrify America,1,0
24,Central Other,1,1,Other,0,18
25,Central Other,1,1,Other,1,6
26,Central Other,1,1,Tesla,1,3
27,Central Other,1,1,Tesla Destination,0,3
28,Central Other,1,1,eVgo Network,1,1
29,Los Angeles,0,0,ChargePoint Network,0,159
30,Los Angeles,0,0,ChargePoint Network,1,3
31,Los Angeles,0,0,Electrify America,1,10
32,Los Angeles,0,0,FLO,0,16
33,Los Angeles,0,0,Other,0,15
34,Los Angeles,0,0,Other,1,10
35,Los Angeles,0,0,Tesla,1,6
36,Los Angeles,0,0,Tesla Destination,0,13
37,Los Angeles,0,0,SHELL_RECHARGE,0,9
38,Los Angeles,0,0,eVgo Network,1,18
39,Los Angeles,0,1,ChargePoint Network,0,6
40,Los Angeles,0,1,ChargePoint Network,1,1
41,Los Angeles,0,1,Electrify America,1,1
42,Los Angeles,0,1,Other,0,0
43,Los Angeles,0,1,Other,1,1
44,Los Angeles,0,1,Tesla,1,1
45,Los Angeles,0,1,Tesla Destination,0,8
46,Los Angeles,1,0,ChargePoint Network,0,205
47,Los Angeles,1,0,ChargePoint Network,1,16
48,Los Angeles,1,0,Electrify America,1,13
