,Unnamed: 0.1,Unnamed: 0,OBJECTID,Join_Count,TARGET_FID,Join_Count.1,TARGET_FID.1,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Mile2,GEO,Mile2_1,CA_tract,Differ_are,Differ_ran,rural,STATEFP 1,COUNTYFP 1,County,TRACTCE 1,GEOID 1,NAME 1,NAMELSAD 1,ALAND 1,AWATER 1,INTPTLAT 1,INTPTLON 1,Tract,urban_rura,POPULATION,DAC,CIscore,CIscoreP,Traffic_Pc,DAC_cat,MHI_2019_5,Avg_hshld_,HCD_Low_20,HCD_Modera,State_MHI_,State_MHI1,Income_Gro,Shape_Leng,x,y,GreaterRegion,DAC/LIC,DCFC,EV Network Clean,nacs
0,0,0,1,1,1,1,1,ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,5:30am-9pm; pay lot,,,,,,7.0,,,Non-Networked,,GPS,34.040539,-118.271387,1/10/2023,1523,2023-02-14 15:54:11 UTC,P,,,8/30/1995,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,224010.0,6037224010.0,2240.1,Census Tract 2240.10,G5020,S,830399.0,0.0,34.0367636,-118.2658976,0.32061825,6037224010.0,0.32061825,6037224010.0,0.99999999,2.0,0.0,6.0,37.0,Los Angeles County,224010.0,6037224010.0,2240.1,Census Tract 2240.10,830398.0,0.0,34.0367636,-118.2658976,6037224010.0,Urban,2845.0,Disadvantaged Community,62.72820016,96.96167423,90.6625,CalEnviroScreen 4.0 Top 25%,"$28,082 ",2.0,"$75,700 ","$76,800 ",75235.0,37.33%,Low,4236.956835,-118.271387,34.040539,Los Angeles,1,0,Other,False
1,1,1,2,1,2,1,2,ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,92037,,,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,32.89947,-117.243,8/15/2024,6355,2024-08-15 19:57:12 UTC,P,,,7/30/1997,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free; parking fee,,,,,,,,,,False,,,,,,,,,False,,6.0,73.0,8312.0,6073008312.0,83.12,Census Tract 83.12,G5020,S,8620727.0,3182807.0,32.9057435,-117.252772,4.55737637,6073008312.0,4.55737637,6073008312.0,0.73035055,4.0,0.0,6.0,73.0,San Diego County,8312.0,6073008312.0,83.12,Census Tract 83.12,8620759.0,3182807.0,32.9053825,-117.252727,6073008312.0,Urban,3528.0,,0.0,0.0,0.0, ,"$129,360 ",2.0,"$77,600 ","$91,300 ",75235.0,171.94%,High,23960.78061,-117.243,32.89947,San Diego,0,0,Other,False
2,2,3,4,1,4,1,4,ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,92503,,951-351-3110,E,,Public,6am-12am daily,,,,,,4.0,,,Non-Networked,,GPS,33.909914,-117.459053,9/14/2023,6425,2024-01-31 22:07:01 UTC,P,,,8/30/1997,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,65.0,31601.0,6065031601.0,316.01,Census Tract 316.01,G5020,S,1938920.0,0.0,33.9154306,-117.4486324,0.74862066,6065031601.0,0.74862066,6065031601.0,1.0,1.0,0.0,6.0,65.0,Riverside County,31601.0,6065031601.0,316.01,Census Tract 316.01,1938919.0,0.0,33.9154306,-117.4486324,6065031601.0,Urban,4499.0,Disadvantaged Community,55.44540799,92.88956127,93.675,CalEnviroScreen 4.0 Top 25%,"$50,757 ",4.0,"$63,200 ","$93,000 ",75235.0,67.46%,Low,7093.735743,-117.459053,33.909914,Southern Other,1,0,Other,False
3,3,5,6,1,6,1,6,ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2.0,,,Non-Networked,,GPS,34.145138,-118.152655,1/10/2023,6506,2023-02-14 15:54:11 UTC,LG,,,8/30/1997,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,463700.0,6037463700.0,4637.0,Census Tract 4637,G5020,S,1725311.0,10596.0,34.1381332,-118.157179,0.67023881,6037463700.0,0.67023881,6037463700.0,0.99999999,2.0,0.0,6.0,37.0,Los Angeles County,463700.0,6037463700.0,4637.0,Census Tract 4637,1725310.0,10596.0,34.1381332,-118.157179,6037463700.0,Urban,3138.0,,0.0,0.0,0.0, ,"$136,389 ",2.0,"$75,700 ","$76,800 ",75235.0,181.28%,High,5521.026492,-118.152655,34.145138,Los Angeles,0,0,Other,False
4,4,6,7,1,7,1,7,ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,3.0,,,Non-Networked,,GPS,34.145119,-118.150133,1/10/2023,6507,2023-02-14 15:54:11 UTC,LG,,,8/30/1997,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,"$1 for the first two hours, $2 each additional hour; parking fee",,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,463602.0,6037463602.0,4636.02,Census Tract 4636.02,G5020,S,927598.0,0.0,34.1408045,-118.1458928,0.35814885,6037463602.0,0.35814885,6037463602.0,0.99999997,2.0,0.0,6.0,37.0,Los Angeles County,463602.0,6037463602.0,4636.02,Census Tract 4636.02,927588.0,0.0,34.1408046,-118.1458929,6037463602.0,Urban,6057.0,,0.0,0.0,0.0, ,"$83,065 ",2.0,"$75,700 ","$76,800 ",75235.0,110.41%,Middle,3888.861858,-118.150133,34.145119,Los Angeles,0,0,Other,False
5,5,9,10,1,10,1,10,ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20.0,,,Non-Networked,,GPS,33.94325,-118.403342,8/15/2024,7184,2024-08-15 19:57:12 UTC,LG,,,6/30/1998,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$2 service fee + $0.45 per kWh,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,980028.0,6037980028.0,9800.28,Census Tract 9800.28,G5020,S,17299720.0,2387924.0,33.9423871,-118.4160617,7.60153642,6037980028.0,7.60153642,6037980028.0,0.88163443,3.0,0.0,6.0,37.0,Los Angeles County,980028.0,6037980028.0,9800.28,Census Tract 9800.28,17299747.0,2367417.0,33.9421429,-118.4173296,6037980028.0,Urban,0.0,Disadvantaged Community,0.0,0.0,84.075,"CalEnviroScreen 4.0 High Pollution Score, Low Population Count",,,,,75235.0,,,26157.47553,-118.403342,33.94325,Los Angeles,1,0,Other,False
6,6,10,11,1,11,1,11,ELEC,Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,,Northridge,CA,91324,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,5.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.238716,-118.554686,11/4/2024,7192,2024-11-04 03:25:10 UTC,,,,5/30/1998,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,,6.0,37.0,113301.0,6037113301.0,1133.01,Census Tract 1133.01,G5020,S,2254327.0,0.0,34.2440457,-118.5583038,0.87040058,6037113301.0,0.87040058,6037113301.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,113301.0,6037113301.0,1133.01,Census Tract 1133.01,2269613.0,0.0,34.2440427,-118.5583429,6037113301.0,Urban,3509.0,,0.0,0.0,0.0, ,"$66,793 ",3.0,"$85,150 ","$86,400 ",75235.0,88.78%,Low,6913.911947,-118.554686,34.238716,Los Angeles,1,0,Other,False
7,7,14,15,1,15,1,15,ELEC,Inland Empire Foods,5425 Wilson St,,Riverside,CA,92509,,951-682-8222,E,,Public,8am-4:30pm M-F,,,,,,3.0,,,Non-Networked,,GPS,34.0189,-117.38,5/3/2023,7206,2024-01-31 22:07:01 UTC,P,,,5/30/1998,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,65.0,40101.0,6065040101.0,401.01,Census Tract 401.01,G5020,S,12680373.0,340882.0,34.02279,-117.3964984,5.02753376,6065040101.0,5.02753376,6065040101.0,1.0,2.0,0.0,6.0,65.0,Riverside County,40101.0,6065040101.0,401.01,Census Tract 401.01,12680371.0,340882.0,34.02279,-117.3964984,6065040101.0,Urban,4542.0,Disadvantaged Community,58.50667644,94.76802824,64.65,CalEnviroScreen 4.0 Top 25%,"$80,889 ",5.0,"$68,300 ","$100,450 ",75235.0,107.52%,Middle,15226.10677,-117.38,34.0189,Southern Other,1,0,Other,False
8,8,15,16,1,16,1,16,ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,,Sacramento,CA,95837,,916-874-0670,E,,Public,24 hours daily; pay lot,,,,,,4.0,,1 SP Inductive,Non-Networked,,GPS,38.69005,-121.58889,10/12/2023,7212,2024-01-31 22:07:01 UTC,P,,,6/30/1998,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$12 parking fee,,,,,,,,,,False,,,,,,,,LD,False,,6.0,67.0,7101.0,6067007101.0,71.01,Census Tract 71.01,G5020,S,75757022.0,756966.0,38.7022909,-121.5487912,29.54221591,6067007101.0,29.54221591,6067007101.0,0.00033995,11.0,1.0,6.0,67.0,Sacramento County,7101.0,6067007101.0,71.01,Census Tract 71.01,75516029.0,754933.0,38.7092417,-121.5492084,6067007101.0,Rural,312.0,,0.0,0.0,0.0, ,"$110,625 ",4.0,"$72,500 ","$109,300 ",75235.0,147.04%,High,38370.22668,-121.58889,38.69005,Sacramento,0,0,Other,False
9,9,16,17,1,17,1,17,ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,34.017081,-118.44704,1/10/2023,7229,2023-02-14 15:54:11 UTC,LG,,,6/30/1998,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,SOLAR,False,,,,,,,,LD,False,,6.0,37.0,702300.0,6037702300.0,7023.0,Census Tract 7023,G5020,S,2591889.0,0.0,34.0182907,-118.4559701,1.00073434,6037702300.0,1.00073434,6037702300.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,702300.0,6037702300.0,7023.0,Census Tract 7023,2600727.0,0.0,34.0183095,-118.4559502,6037702300.0,Urban,6839.0,,0.0,0.0,0.0, ,"$114,514 ",2.0,"$75,700 ","$76,800 ",75235.0,152.21%,High,6452.564686,-118.44704,34.017081,Los Angeles,0,0,Other,False
