region,dac_lic,rural,network,dcfc,nacs,count
Central Other,0,0,ChargePoint Network,0,0,20
Central Other,0,0,ChargePoint Network,1,0,3
Central Other,0,0,Electrify America,1,0,0
Central Other,0,0,Other,0,0,0
Central Other,0,0,Tesla,1,0,2
Central Other,0,0,Tesla Destination,0,0,1
Central Other,0,0,eVgo Network,1,0,0
Central Other,0,1,ChargePoint Network,0,0,2
Central Other,0,1,ChargePoint Network,1,0,1
Central Other,0,1,Other,0,0,1
Central Other,0,1,Other,1,0,1
Central Other,0,1,Tesla,1,0,1
Central Other,0,1,Tesla Destination,0,0,3
Central Other,1,0,ChargePoint Network,0,0,11
Central Other,1,0,ChargePoint Network,1,0,4
Central Other,1,0,Electrify America,1,0,0
Central Other,1,0,Other,0,0,3
Central Other,1,0,Other,1,0,2
Central Other,1,0,Tesla,1,0,3
Central Other,1,0,Tesla Destination,0,0,1
Central Other,1,0,eVgo Network,1,0,2
Central Other,1,1,ChargePoint Network,0,0,10
Central Other,1,1,ChargePoint Network,1,0,2
Central Other,1,1,Electrify America,1,0,0
Central Other,1,1,Other,0,0,14
Central Other,1,1,Other,1,0,1
Central Other,1,1,Tesla,1,0,3
Central Other,1,1,Tesla Destination,0,0,3
Central Other,1,1,eVgo Network,1,0,1
Los Angeles,0,0,ChargePoint Network,0,0,133
Los Angeles,0,0,ChargePoint Network,1,0,3
Los Angeles,0,0,Electrify America,1,0,9
Los Angeles,0,0,FLO,0,0,14
Los Angeles,0,0,Other,0,0,13
Los Angeles,0,0,Other,1,0,9
Los Angeles,0,0,Tesla,1,0,5
Los Angeles,0,0,Tesla Destination,0,0,11
Los Angeles,0,0,Volta,0,0,8
Los Angeles,0,0,eVgo Network,1,0,14
Los Angeles,0,1,ChargePoint Network,0,0,3
Los Angeles,0,1,ChargePoint Network,1,0,1
Los Angeles,0,1,Electrify America,1,0,0
Los Angeles,0,1,Other,0,0,0
Los Angeles,0,1,Other,1,0,1
Los Angeles,0,1,Tesla,1,0,1
Los Angeles,0,1,Tesla Destination,0,0,7
Los Angeles,1,0,ChargePoint Network,0,0,168
Los Angeles,1,0,ChargePoint Network,1,0,13
Los Angeles,1,0,Electrify America,1,0,11
Los Angeles,1,0,FLO,0,0,21
Los Angeles,1,0,Other,0,0,60
Los Angeles,1,0,Other,1,0,21
Los Angeles,1,0,Tesla,1,0,11
Los Angeles,1,0,Tesla Destination,0,0,7
Los Angeles,1,0,Volta,0,0,4
Los Angeles,1,0,eVgo Network,1,0,8
Los Angeles,1,1,ChargePoint Network,0,0,9
Los Angeles,1,1,ChargePoint Network,1,0,6
Los Angeles,1,1,Electrify America,1,0,1
Los Angeles,1,1,Other,0,0,6
Los Angeles,1,1,Other,1,0,5
Los Angeles,1,1,Tesla Destination,0,0,5
Northern Other,0,1,Other,0,0,1
Northern Other,0,1,Tesla,1,0,1
Northern Other,0,1,Tesla Destination,0,0,2
Northern Other,1,0,ChargePoint Network,0,0,0
Northern Other,1,0,ChargePoint Network,1,0,0
Northern Other,1,0,Other,0,0,0
Northern Other,1,0,Tesla,1,0,1
Northern Other,1,0,Tesla Destination,0,0,2
Northern Other,1,0,eVgo Network,1,0,0
Northern Other,1,1,ChargePoint Network,0,0,11
Northern Other,1,1,ChargePoint Network,1,0,8
Northern Other,1,1,Electrify America,1,0,3
Northern Other,1,1,Other,0,0,1
Northern Other,1,1,Other,1,0,11
Northern Other,1,1,Tesla,1,0,5
Northern Other,1,1,Tesla Destination,0,0,4
Sacramento,0,0,ChargePoint Network,0,0,0
Sacramento,0,0,ChargePoint Network,1,0,0
Sacramento,0,0,Electrify America,1,0,0
Sacramento,0,0,Other,0,0,0
Sacramento,0,0,Other,1,0,1
Sacramento,0,0,Tesla,1,0,0
Sacramento,0,0,Volta,0,0,0
Sacramento,0,0,eVgo Network,1,0,0
Sacramento,0,1,ChargePoint Network,0,0,0
Sacramento,0,1,ChargePoint Network,1,0,0
Sacramento,0,1,Electrify America,1,0,0
Sacramento,0,1,Other,0,0,0
Sacramento,0,1,Other,1,0,0
Sacramento,0,1,Tesla,1,0,0
Sacramento,0,1,Tesla Destination,0,0,0
Sacramento,1,0,ChargePoint Network,0,0,0
Sacramento,1,0,ChargePoint Network,1,0,0
Sacramento,1,0,Electrify America,1,0,0
Sacramento,1,0,Other,0,0,0
Sacramento,1,0,Other,1,0,0
Sacramento,1,0,Tesla,1,0,0
Sacramento,1,0,Tesla Destination,0,0,0
Sacramento,1,0,Volta,0,0,0
Sacramento,1,0,eVgo Network,1,0,0
Sacramento,1,1,ChargePoint Network,0,0,0
Sacramento,1,1,ChargePoint Network,1,0,0
Sacramento,1,1,Electrify America,1,0,0
Sacramento,1,1,Other,0,0,0
Sacramento,1,1,Tesla Destination,0,0,0
Sacramento,1,1,eVgo Network,1,0,1
San Diego,0,0,ChargePoint Network,0,0,41
San Diego,0,0,ChargePoint Network,1,0,5
San Diego,0,0,Other,0,0,9
San Diego,0,0,Other,1,0,4
San Diego,0,0,Tesla,1,0,0
San Diego,0,0,Tesla Destination,0,0,1
San Diego,0,0,Volta,0,0,3
San Diego,0,0,eVgo Network,1,0,4
San Diego,0,1,Other,0,0,1
San Diego,1,0,ChargePoint Network,0,0,45
San Diego,1,0,ChargePoint Network,1,0,4
San Diego,1,0,Electrify America,1,0,4
San Diego,1,0,Other,0,0,16
San Diego,1,0,Other,1,0,4
San Diego,1,0,Tesla,1,0,0
San Diego,1,0,Tesla Destination,0,0,0
San Diego,1,0,Volta,0,0,1
San Diego,1,0,eVgo Network,1,0,4
San Diego,1,1,ChargePoint Network,0,0,2
San Diego,1,1,Other,0,0,6
San Diego,1,1,Tesla,1,0,0
San Francisco,0,0,ChargePoint Network,0,0,93
San Francisco,0,0,ChargePoint Network,1,0,2
San Francisco,0,0,Electrify America,1,0,1
San Francisco,0,0,Other,0,0,12
San Francisco,0,0,Other,1,0,6
San Francisco,0,0,Tesla,1,0,4
San Francisco,0,0,Tesla Destination,0,0,5
San Francisco,0,0,Volta,0,0,1
San Francisco,0,0,eVgo Network,1,0,3
San Francisco,0,1,ChargePoint Network,0,0,2
San Francisco,0,1,Other,0,0,0
San Francisco,0,1,Other,1,0,1
San Francisco,0,1,Tesla Destination,0,0,6
San Francisco,0,1,eVgo Network,1,0,0
San Francisco,1,0,ChargePoint Network,0,0,77
San Francisco,1,0,ChargePoint Network,1,0,10
San Francisco,1,0,Electrify America,1,0,0
San Francisco,1,0,Other,0,0,0
San Francisco,1,0,Other,1,0,3
San Francisco,1,0,Tesla,1,0,1
San Francisco,1,0,Tesla Destination,0,0,1
San Francisco,1,0,Volta,0,0,1
San Francisco,1,0,eVgo Network,1,0,0
San Francisco,1,1,ChargePoint Network,0,0,2
San Francisco,1,1,Other,0,0,0
San Francisco,1,1,Other,1,0,0
San Francisco,1,1,Tesla Destination,0,0,0
San Francisco,1,1,eVgo Network,1,0,1
Southern Other,0,0,ChargePoint Network,0,0,28
Southern Other,0,0,ChargePoint Network,1,0,13
Southern Other,0,0,Other,0,0,7
Southern Other,0,0,Other,1,0,5
Southern Other,0,0,Tesla,1,0,4
Southern Other,0,0,Tesla Destination,0,0,5
Southern Other,0,0,Volta,0,0,4
Southern Other,0,0,eVgo Network,1,0,3
Southern Other,0,1,ChargePoint Network,0,0,2
Southern Other,0,1,Other,1,0,1
Southern Other,0,1,Tesla,1,0,1
Southern Other,0,1,Tesla Destination,0,0,1
Southern Other,1,0,ChargePoint Network,0,0,34
Southern Other,1,0,ChargePoint Network,1,0,14
Southern Other,1,0,Other,0,0,16
Southern Other,1,0,Other,1,0,7
Southern Other,1,0,Tesla,1,0,2
Southern Other,1,0,Tesla Destination,0,0,1
Southern Other,1,0,Volta,0,0,1
Southern Other,1,0,eVgo Network,1,0,1
Southern Other,1,1,ChargePoint Network,0,0,11
Southern Other,1,1,ChargePoint Network,1,0,5
Southern Other,1,1,Electrify America,1,0,2
Southern Other,1,1,Other,1,0,2
Southern Other,1,1,Tesla,1,0,5
Southern Other,1,1,eVgo Network,1,0,2
Central Other,0,0,ChargePoint Network,0,1,5
Central Other,0,0,ChargePoint Network,1,1,5
Central Other,0,0,Electrify America,1,1,5
Central Other,0,0,Other,0,1,5
Central Other,0,0,Tesla,1,1,5
Central Other,0,0,Tesla Destination,0,1,5
Central Other,0,0,eVgo Network,1,1,5
Central Other,0,1,ChargePoint Network,0,1,5
Central Other,0,1,ChargePoint Network,1,1,5
Central Other,0,1,Other,0,1,5
Central Other,0,1,Other,1,1,5
Central Other,0,1,Tesla,1,1,5
Central Other,0,1,Tesla Destination,0,1,5
Central Other,1,0,ChargePoint Network,0,1,5
Central Other,1,0,ChargePoint Network,1,1,5
Central Other,1,0,Electrify America,1,1,5
Central Other,1,0,Other,0,1,5
Central Other,1,0,Other,1,1,5
Central Other,1,0,Tesla,1,1,5
Central Other,1,0,Tesla Destination,0,1,5
Central Other,1,0,eVgo Network,1,1,5
Central Other,1,1,ChargePoint Network,0,1,5
Central Other,1,1,ChargePoint Network,1,1,5
Central Other,1,1,Electrify America,1,1,5
Central Other,1,1,Other,0,1,5
Central Other,1,1,Other,1,1,5
Central Other,1,1,Tesla,1,1,5
Central Other,1,1,Tesla Destination,0,1,5
Central Other,1,1,eVgo Network,1,1,5
Los Angeles,0,0,ChargePoint Network,0,1,5
Los Angeles,0,0,ChargePoint Network,1,1,5
Los Angeles,0,0,Electrify America,1,1,5
Los Angeles,0,0,FLO,0,1,5
Los Angeles,0,0,Other,0,1,5
Los Angeles,0,0,Other,1,1,5
Los Angeles,0,0,Tesla,1,1,5
Los Angeles,0,0,Tesla Destination,0,1,5
Los Angeles,0,0,Volta,0,1,5
Los Angeles,0,0,eVgo Network,1,1,5
Los Angeles,0,1,ChargePoint Network,0,1,5
Los Angeles,0,1,ChargePoint Network,1,1,5
Los Angeles,0,1,Electrify America,1,1,5
