"id","visited","name","address","city","state","zip","user","location","sample","tesla_network","tesla_compatible","excluded","vehicle_type","count_level1","count_level2","count_dcfast","network"
"25514","1","Stars Recreation Center","155 Browns Valley Pkwy","Vacaville","CA","95688","laulin@ucdavis.edu","(-121.967, 38.36557","1","0","1","0","CCS","0","4","0","Non-Networked"
"25515","1","City of Vacaville - Regional Transport Center","190 Hickory Ln","Vacaville","CA","95688","dchau@ucdavis.edu","(-121.987, 38.35172","1","0","1","0","Adapter","0","2","0","Non-Networked"
"25517","1","KUIC Radio - Parking Lot","500 Catherine St","Vacaville","CA","95688","bnolszewski@ucdavis.edu","(-121.9862, 38.355867","1","0","1","0","CCS","0","1","0","Non-Networked"
"27329","1","Solano Community College","4000 Suisun Valley Rd","Fairfield","CA","94534","irereyes@ucdavis.edu","(-122.123, 38.23723","1","0","1","0","CCS","0","3","0","Non-Networked"
"33545","1","Nut Tree Village","1651 E Monte Vista Ave","Vacaville","CA","95688","nibarron@ucdavis.edu","(-121.961192, 38.368755","1","0","1","0","CCS","1","1","0","Non-Networked"
"51210","1","Sheldon Town Center","8973 Grant Line Rd","Elk Grove","CA","95624","dchau@ucdavis.edu","(-121.299343, 38.431454","1","0","1","0","Tesla","0","1","0","Non-Networked"
"51933","1","ProjectGreenHome.org","314 Stanford Ave","Palo Alto","CA","94306","dchau@ucdavis.edu","(-122.147944, 37.430039","1","0","1","0","CCS","0","2","0","Non-Networked"
"51947","1","Via Verde Park & Ride","181 E Via Verde","San Dimas","CA","91773","eeboyd@ucdavis.edu","(-117.81619, 34.077429","1","0","1","0","null","0","2","0","Non-Networked"
"63051","1","LA County ISD Music Center Lot 14","135 N Grand Ave","Los Angeles","CA","90012","eeboyd@ucdavis.edu","(-118.24789, 34.057657","1","0","1","0","null","0","40","0","POWERFLEX"
"65519","1","Anaheim Regional Transit Intermodal Center - Lot A","2626 E Katella Ave","Anaheim","CA","92806","nibarron@ucdavis.edu","(-117.8771492, 33.80436801","1","0","1","0","Adapter","0","10","0","Non-Networked"
"70072","1","California State University - Sacramento State - Parking Structure 1","6000 J St","Sacramento","CA","95819","dchau@ucdavis.edu","(-121.426936, 38.55991966","1","0","1","0","Adapter","0","4","0","Non-Networked"
"70601","1","Golden Gate National Recreation Area - Fort Mason","1300-1398 Bay St","San Francisco","CA","94123","dchau@ucdavis.edu","(-122.429484, 37.803955","1","0","1","0","CCS","0","4","0","Non-Networked"
"76386","1","Christa McAuliffe Middle School","3880 Iron Canyon Cir","Stockton","CA","95209","irereyes@ucdavis.edu","(-121.366808, 38.04508","1","0","1","0","Tesla","0","2","0","Non-Networked"
"88976","1","Menlo College","1000 El Camino Real","Atherton","CA","94027","eeboyd@ucdavis.edu","(-122.1910762, 37.45656943","1","0","1","0","null","0","4","0","ChargePoint Network"
"89034","1","American Red Cross","2731 N 1st St","San Jose","CA","95134","eeboyd@ucdavis.edu","(-121.932236, 37.390356","1","0","1","0","null","0","2","0","Non-Networked"
"95223","1","Anchorage Garage - 500 Beach","500 Beach Street","San Francisco","CA","94133","schakravarty@ucdavis.edu","(-122.4178309, 37.80748","1","0","1","0","CCS","0","2","0","Blink Network"
"96134","1","San Juan Bautista","50 Muckelemi St","San Juan Bautista","CA","95045","eeboyd@ucdavis.edu","(-121.5395, 36.844726","1","0","1","0","null","0","1","0","Blink Network"
"96926","1","Parking Lot B","22240 HWY 152","Las Banos","CA","93635","nibarron@ucdavis.edu","(-120.895427, 37.058383","1","0","1","0","Adapter","0","12","0","EV Connect"
"99523","1","EVSP WALGREENS STORE 6585","1570 W Campbell Ave","Campbell","CA","95008","jjbang@ucdavis.edu","(-121.977679, 37.285283","1","0","1","0","Adapter","0","2","0","ChargePoint Network"
"102001","1","Holiday Inn & Suites - Tesla Supercharger","2812 Lenwood Rd.","Barstow","CA","92311","irereyes@ucdavis.edu","(-117.085459, 34.849124","1","1","1","0","Tesla","0","0","16","Tesla"
"102009","1","Rabobank Corning - Tesla Supercharger","950 Hwy 99 W","Corning","CA","96021","dchau@ucdavis.edu","(-122.1984, 39.92646","1","1","1","0","Tesla","0","0","8","Tesla"
"102029","1","County Parking Lot - Tesla Supercharger","11875 Ponderosa Lane","Groveland","CA","95321","nibarron@ucdavis.edu","(-120.23199, 37.838679","1","1","1","0","Tesla","0","0","7","Tesla"
"102046","1","Allied Clean Fuels - Tesla Supercharger","221 Devlin Rd","Napa","CA","94558","laulin@ucdavis.edu","(-122.263886, 38.235578","1","1","1","0","Tesla","0","0","12","Tesla"
"102050","1","Victoria Gardens - Tesla Supercharger","12642 Cultural Center Dr.","Rancho Cucamonga","CA","91739","eeboyd@ucdavis.edu","(-117.529427, 34.113584","1","1","1","0","null","0","0","12","Tesla"
"104585","1","The Harker School - Upper Campus","500 Saratoga Ave","San Jose","CA","95129","eeboyd@ucdavis.edu","(-121.974016, 37.317837","1","0","1","0","null","0","15","0","POWERFLEX"
"112833","1","LangeTwins Family Winery & Vineyards - Tesla Destination","1525 E Jahant Rd","Acampo","CA","95220","nibarron@ucdavis.edu","(-121.297073, 38.205053","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"112834","1","Acquiesce Winery - Tesla Destination","22353 N Tretheway Rd","Acampo","CA","95220","nibarron@ucdavis.edu","(-121.179699, 38.189017","1","1","1","0","Tesla","0","1","0","Tesla Destination"
"112886","1","Tedeschi Family Winery - Tesla Destination","2779 Grant St","Calistoga","CA","94515","nibarron@ucdavis.edu","(-122.594049, 38.590351","1","1","1","0","Tesla","0","1","0","Tesla Destination"
"112925","1","Stonehouse Cellars - Tesla Destination","500 Old Long Valley Rd","Clearlake Oaks","CA","95423","laulin@ucdavis.edu","(-122.584476, 39.027867","1","1","1","0","Tesla","0","3","0","Tesla Destination"
"112965","1","EV Energy Inc - Tesla Destination","10417 Fair Oaks Blvd","Fair Oaks","CA","95628","irereyes@ucdavis.edu","(-121.268204, 38.643902","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"112980","1","Kendall Jackson Wine Estate - Tesla Destination","5007 Fulton Rd","Fulton","CA","95439","eeboyd@ucdavis.edu","(-122.770179, 38.504217","1","1","1","0","null","0","2","0","Tesla Destination"
"112981","1","Old World Winery - Tesla Destination","850 River Rd","Fulton","CA","95439","irereyes@ucdavis.edu","(-122.766331, 38.495894","1","1","1","0","Tesla","0","1","0","Tesla Destination"
"113023","1","Real Goods Solar Living Center - Tesla Destination","13771 S Hwy 101","Hopland","CA","95449","irereyes@ucdavis.edu","(-123.114044, 38.966973","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113056","1","Mozambique Restaurant - Tesla Destination","1740 S Coast Hwy","Laguna Beach","CA","92651","irereyes@ucdavis.edu","(-117.771459, 33.52938","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113156","1","Reynolds Family Winery - Tesla Destination","3266 Silverado Trl","Napa","CA","94558","irereyes@ucdavis.edu","(-122.28608, 38.355633","1","1","1","0","Tesla","0","1","0","Tesla Destination"
"113158","1","Black Stallion Estate Winery - Tesla Destination","4089 Silverado Trl","Napa","CA","94558","irereyes@ucdavis.edu","(-122.290639, 38.359832","1","1","1","0","Tesla","0","3","0","Tesla Destination"
"113162","1","Rudd Winery - Tesla Destination","500 Oakville Cross Rd","Napa","CA","94558","irereyes@ucdavis.edu","(-122.365144, 38.455324","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113166","1","Italics Winegrowers - Tesla Destination","70 Rapp Ln","Napa","CA","94558","irereyes@ucdavis.edu","(-122.246385, 38.308931","1","1","1","0","Tesla","0","1","0","Tesla Destination"
"113182","1","Oakville Grocery - Tesla Destination","7856 St Helena Hwy","Oakville","CA","94562","eeboyd@ucdavis.edu","(-122.402878, 38.43722","1","1","1","0","null","0","2","0","Tesla Destination"
"113194","1","Feather Falls Casino - Tesla Destination","3 Alverda Dr","Oroville","CA","95966","eeboyd@ucdavis.edu","(-121.515891, 39.466997","1","1","1","0","null","0","3","0","Tesla Destination"
"113277","1","Taste Restaurant and Wine Bar - Tesla Destination","9402 Main St","Plymouth","CA","95669","irereyes@ucdavis.edu","(-120.847971, 38.480967","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113399","1","Sonoma Jet Center - Tesla Destination","6000 Flightline Dr","Santa Rosa","CA","95403","irereyes@ucdavis.edu","(-122.804181, 38.509445","1","1","1","0","Tesla","0","3","0","Tesla Destination"
"113431","1","Saint Helena Winery - Tesla Destination","100 Pratt Ave","Saint Helena","CA","94574","irereyes@ucdavis.edu","(-122.475455, 38.519773","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113446","1","Nine Suns Winery - Tesla Destination","200 Long Ranch Rd","Saint Helena","CA","94574","irereyes@ucdavis.edu","(-122.348857, 38.46755","1","1","1","0","Tesla","0","1","0","Tesla Destination"
