"id","visited","name","address","city","state","zip","user","location","sample","tesla_network","tesla_compatible","excluded","vehicle_type","count_level1","count_level2","count_dcfast","network"
"25514","1","Stars Recreation Center","155 Browns Valley Pkwy","Vacaville","CA","95688","laulin@ucdavis.edu","(-121.967, 38.36557","1","0","1","0","CCS","0","4","0","Non-Networked"
"25517","1","KUIC Radio - Parking Lot","500 Catherine St","Vacaville","CA","95688","bnolszewski@ucdavis.edu","(-121.9862, 38.355867","1","0","1","0","CCS","0","1","0","Non-Networked"
"27329","1","Solano Community College","4000 Suisun Valley Rd","Fairfield","CA","94534","irereyes@ucdavis.edu","(-122.123, 38.23723","1","0","1","0","CCS","0","3","0","Non-Networked"
"33545","1","Nut Tree Village","1651 E Monte Vista Ave","Vacaville","CA","95688","nibarron@ucdavis.edu","(-121.961192, 38.368755","1","0","1","0","CCS","1","1","0","Non-Networked"
"51210","1","Sheldon Town Center","8973 Grant Line Rd","Elk Grove","CA","95624","dchau@ucdavis.edu","(-121.299343, 38.431454","1","0","1","0","Tesla","0","1","0","Non-Networked"
"51933","1","ProjectGreenHome.org","314 Stanford Ave","Palo Alto","CA","94306","dchau@ucdavis.edu","(-122.147944, 37.430039","1","0","1","0","CCS","0","2","0","Non-Networked"
"70601","1","Golden Gate National Recreation Area - Fort Mason","1300-1398 Bay St","San Francisco","CA","94123","dchau@ucdavis.edu","(-122.429484, 37.803955","1","0","1","0","CCS","0","4","0","Non-Networked"
"95223","1","Anchorage Garage - 500 Beach","500 Beach Street","San Francisco","CA","94133","schakravarty@ucdavis.edu","(-122.4178309, 37.80748","1","0","1","0","CCS","0","2","0","Blink Network"
"102001","1","Holiday Inn & Suites - Tesla Supercharger","2812 Lenwood Rd.","Barstow","CA","92311","irereyes@ucdavis.edu","(-117.085459, 34.849124","1","1","1","0","Tesla","0","0","16","Tesla"
"102009","1","Rabobank Corning - Tesla Supercharger","950 Hwy 99 W","Corning","CA","96021","dchau@ucdavis.edu","(-122.1984, 39.92646","1","1","1","0","Tesla","0","0","8","Tesla"
"102046","1","Allied Clean Fuels - Tesla Supercharger","221 Devlin Rd","Napa","CA","94558","laulin@ucdavis.edu","(-122.263886, 38.235578","1","1","1","0","Tesla","0","0","12","Tesla"
"112965","1","EV Energy Inc - Tesla Destination","10417 Fair Oaks Blvd","Fair Oaks","CA","95628","irereyes@ucdavis.edu","(-121.268204, 38.643902","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113056","1","Mozambique Restaurant - Tesla Destination","1740 S Coast Hwy","Laguna Beach","CA","92651","irereyes@ucdavis.edu","(-117.771459, 33.52938","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113156","1","Reynolds Family Winery - Tesla Destination","3266 Silverado Trl","Napa","CA","94558","irereyes@ucdavis.edu","(-122.28608, 38.355633","1","1","1","0","Tesla","0","1","0","Tesla Destination"
"113158","1","Black Stallion Estate Winery - Tesla Destination","4089 Silverado Trl","Napa","CA","94558","irereyes@ucdavis.edu","(-122.290639, 38.359832","1","1","1","0","Tesla","0","3","0","Tesla Destination"
"113277","1","Taste Restaurant and Wine Bar - Tesla Destination","9402 Main St","Plymouth","CA","95669","irereyes@ucdavis.edu","(-120.847971, 38.480967","1","1","1","0","Tesla","0","2","0","Tesla Destination"
"113399","1","Sonoma Jet Center - Tesla Destination","6000 Flightline Dr","Santa Rosa","CA","95403","irereyes@ucdavis.edu","(-122.804181, 38.509445","1","1","1","0","Tesla","0","3","0","Tesla Destination"
"122391","1","Red Lion Hotel Redding - Tesla Destination","1830 Hill Top Dr","Redding","CA","96002","dchau@ucdavis.edu","(-122.35825, 40.581174","1","1","1","0","Tesla","0","3","0","Tesla Destination"
"122402","1","Old Creek Ranch Winery - Tesla Destination","10024 E Old Creek Rd","Ventura","CA","93003","irereyes@ucdavis.edu","(-119.294972, 34.39064","1","1","1","0","Tesla","0","3","0","Tesla Destination"
"148639","1","SB Animal Hospital","5188 Moorpark Ave.","San Jose","CA","95129","dchau@ucdavis.edu","(-121.9951423, 37.3094612","1","0","1","0","CCS","0","1","0","Blink Network"
"149309","1","Courtyard by Marriott Fairfield Napa Valley Area - Tesla Supercharger","1350 Holiday Lane","Fairfield","CA","94534","irereyes@ucdavis.edu","(-122.065062, 38.256618","1","1","1","0","Tesla","0","0","12","Tesla"
"150204","1","Coddingtown Mall - Tesla Supercharger","733 Coddingtown Center","Santa Rosa","CA","95401","irereyes@ucdavis.edu","(-122.730226, 38.459409","1","1","1","0","Tesla","0","0","20","Tesla"
"150221","1","Belle Mill Landing - Tesla Supercharger","82 Belle Mill Road","Red Bluff","CA","96080","dchau@ucdavis.edu","(-122.22754, 40.182245","1","1","1","0","Tesla","0","0","8","Tesla"
"151049","1","Capitola Mall","1855 41St Ave","Capitola","CA","95010","dchau@ucdavis.edu","(-121.968968, 36.977128","1","0","1","0","NACS","0","2","0","SHELL_RECHARGE"
"151067","1","Powell Street Plaza","5701-5795 Christie Ave","Emeryville","CA","94608","dchau@ucdavis.edu","(-122.294625, 37.836685","1","0","1","0","Tesla","0","2","0","SHELL_RECHARGE"
"152873","1","Hamilton Marketplace","5800 Nave Drive","Novato","CA","94947","jjbang@ucdavis.edu","(-122.53376, 38.06337","1","0","1","0","CCS","0","1","0","SHELL_RECHARGE"
"152875","1","Century Rowland Plaza","44 Rowland Way","Novato","CA","94945","jjbang@ucdavis.edu","(-122.556698, 38.094665","1","0","1","0","CCS","0","2","0","SHELL_RECHARGE"
"154772","1","RICHMOND MARINA","1207 Melville Square","Richmond","CA","94804","dchau@ucdavis.edu","(-122.347533, 37.915406","1","0","1","0","Tesla","0","1","0","ChargePoint Network"
"154798","1","The Shops at Missions Viejo - Tesla Supercharger","555 The Shops at Mission Viejo","Mission Viejo","CA","92691","irereyes@ucdavis.edu","(-117.668031, 33.557287","1","1","1","0","Tesla","0","0","10","Tesla"
"155167","1","Powell Street Plaza - Tesla Supercharger","5795 Christie Avenue","Emeryville","CA","94608","dchau@ucdavis.edu","(-122.295505, 37.837493","1","1","1","0","Tesla","0","0","12","Tesla"
"155576","1","BOA Emeryville CA4-137","4120 San Pablo Avenue","Emeryville","CA","94608","kcacastro@ucdavis.edu","(-122.27974, 37.83268","1","0","0","0","CCS","0","0","3","Electrify America"
"155990","1","Ripon Love鈥檚 Travel Stop","1553 W. Colony Rd","Ripon","CA","95366","laulin@ucdavis.edu","(-121.141703, 37.755639","1","0","0","0","CCS","0","2","2","EV Connect"
"158838","1","CONCORD TODOS SANTOS #2","2051 Salvio St","Concord","CA","94520","dchau@ucdavis.edu","(-122.036184, 37.977415","1","0","1","0","Tesla","0","2","0","ChargePoint Network"
"158864","1","DUTCH BROS DIXON 01","1115 Pitt School Rd","Dixon","CA","95620","bnolszewski@ucdavis.edu","(-121.840948, 38.455778","1","0","1","0","CCS","0","2","0","ChargePoint Network"
